,City,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude
78,Changji,50.77,87,0,3.6,32.07
79,Saint-Joseph,69.8,72,0,4.7,43.56
80,Contamana,96.58,33,0,2.37,-7.35
81,Nalut,55.18,57,0,3.71,31.86
82,Pericos,96.8,50,75,2.93,25.08
83,Oistins,84.2,74,40,10.29,13.07
84,Naze,75.61,92,88,4.94,5.43
85,Berdigestyakh,33.13,92,92,5.06,62.1
86,Graham,84.92,63,20,3.83,36.07
87,Manjeshwar,75.2,83,75,5.82,12.72
88,Bethanien,60.04,14,0,8.97,-26.5
89,Caimito,84.2,62,40,14.99,22.95
90,Kruisfontein,54.73,92,0,1.36,-34.0
91,Bama,63.64,78,36,2.48,24.14
92,Danielskuil,50.05,27,0,16.35,-28.19
93,Nanortalik,36.28,97,0,21.94,60.14
94,Tabou,78.94,100,80,8.19,4.42
95,Coihaique,51.8,49,20,8.05,-45.58
96,Tiksi,17.02,100,56,2.93,71.64
97,Nemuro,57.79,100,0,14.12,43.32
98,Xinzhou,33.94,75,0,1.36,38.41
99,Tartagal,69.8,64,90,6.93,-22.52
100,Aykhal,29.08,90,88,9.42,65.95
101,Waingapu,68.32,95,0,4.16,-9.65
102,Aksay,58.24,64,56,10.76,47.27
103,Codrington,57.52,89,8,4.38,-28.95
104,Rognan,39.2,86,75,8.05,67.1
105,Kaiyuan,48.34,80,0,6.73,42.54
106,Victoria,80.6,88,75,4.94,5.28
107,Port Alfred,61.93,89,92,5.61,-33.59
108,Talnakh,27.91,100,80,10.42,69.49
109,Avera,89.06,45,75,3.6,33.19
110,Aksu,39.2,93,0,6.71,52.04
111,Chokurdakh,29.53,94,80,12.33,70.62
112,Dwarka,78.8,78,40,4.7,28.58
113,Kenai,57.02,48,90,11.41,60.55
114,Iqaluit,33.8,80,90,16.11,63.75
115,Bozeman,59.0,7,1,8.05,45.68
116,Sechura,71.56,86,48,12.21,-5.56
117,Eydhafushi,78.13,100,92,25.3,5.1
118,Ust-Nera,16.48,77,64,2.26,64.57
119,Harper,87.08,49,40,13.87,30.3
120,Bukama,72.46,72,0,2.26,-9.2
121,Flagstaff,75.2,64,75,9.17,35.2
122,Caramay,79.21,100,12,3.49,10.18
123,Peyima,74.98,98,76,3.94,8.69
124,Tabas,57.16,50,0,2.71,33.6
125,Saint George,62.6,93,20,4.7,39.45
126,Mehamn,37.4,86,75,17.22,71.03
127,Langham,42.8,35,75,18.34,52.36
128,Mpanda,74.89,46,32,5.5,-6.34
129,Saldanha,57.07,61,0,6.06,41.42
130,Zhangjiakou,30.43,71,0,2.37,40.77
131,Seymchan,12.07,95,44,2.59,62.93
132,Ribeira Grande,73.99,94,92,8.3,38.52
133,Konstantinovka,47.26,80,0,9.19,47.99
134,Sain Alto,76.33,34,0,7.96,23.58
135,Homer,53.96,71,90,3.36,59.64
136,Kawalu,63.19,99,88,1.14,-7.38
137,Mbandaka,74.71,95,20,2.71,0.05
138,Jamestown,48.25,94,88,11.54,-33.21
139,Vaini,69.31,96,48,3.71,15.34
140,Tura,75.61,85,56,3.71,25.52
141,Salalah,77.0,73,0,3.36,17.01
142,Bilma,84.97,22,76,4.83,18.69
143,Krivodol,69.8,32,0,9.17,43.64
144,Mountain Brook,91.4,50,75,4.7,33.5
145,Port Blair,86.41,95,32,6.06,11.67
146,Westport,55.72,96,92,14.56,53.8
147,Humboldt,35.56,83,8,14.56,52.21
148,Alofi,78.8,69,92,16.11,-19.06
149,Edea,78.8,94,75,1.12,3.8
150,Angoche,78.4,100,8,8.63,-16.23
151,Diu,73.99,82,0,4.05,20.71
152,Henderson,87.8,35,20,20.8,36.04
153,Dashitou,36.91,79,0,2.71,43.3
154,Saint-Georges,55.72,80,0,3.04,46.12
155,Hofn,41.95,100,92,30.78,64.25
156,Ban Nahin,73.99,70,76,4.38,18.24
157,Haines Junction,38.26,57,24,2.71,60.75
158,Narsaq,37.4,55,75,5.82,60.91
159,Pacific Grove,75.2,63,75,4.7,36.62
160,Taybad,53.02,62,0,4.05,34.74
161,Mount Isa,69.8,49,0,4.7,-20.73
162,Nome,89.06,70,90,8.05,30.04
163,Maturin,88.84,59,8,8.08,9.75
164,North Bend,62.06,57,1,13.87,43.41
165,Arshan,56.71,60,0,3.71,14.32
166,Nara,68.0,72,75,3.36,34.68
167,Manado,73.4,88,20,3.36,1.49
168,San Jose de Guanipa,93.79,40,20,9.86,8.89
169,College,49.64,10,1,5.82,64.86
170,Maldonado,60.8,55,20,5.82,-34.91
171,Urengoy,41.32,96,92,14.79,65.96
172,Mataura,54.91,66,92,22.39,-46.19
173,Kodiak,91.94,47,1,23.04,39.95
174,Naryan-Mar,39.79,97,32,15.79,67.67
175,Luderitz,68.41,55,0,11.54,-26.65
176,Port Elizabeth,80.06,54,1,8.05,39.31
177,Nouadhibou,80.6,54,64,16.11,20.93
178,Tongren,53.38,92,20,2.59,27.72
179,Tolbazy,53.6,46,90,11.18,54.01
180,Manokwari,81.91,100,56,1.92,-0.87
181,Caravelas,77.59,100,0,17.25,-17.73
182,Parkes,57.16,87,92,6.73,-33.14
183,Kropotkin,64.09,69,0,13.89,45.43
184,Erzin,71.6,68,0,5.82,36.95
185,Coahuayana,80.47,70,12,1.7,18.62
186,Lorengau,83.08,100,8,1.92,-2.02
187,San Francisco del Rincon,77.0,41,75,5.82,21.02
188,Yulara,59.0,62,0,8.05,-25.24
189,Altay,15.49,65,0,2.15,47.83
190,Mangai,75.7,89,12,0.25,-4.07
191,Dauriya,43.93,41,0,10.98,49.93
192,Vatutinki,44.6,87,75,13.42,55.5
193,Kharitonovo,43.66,94,80,6.4,61.4
194,Ouidah,80.6,88,40,13.87,6.37
195,Kudahuvadhoo,81.19,100,48,23.96,2.67
196,Ketchikan,51.08,8,1,11.41,55.34
197,Iwanai,60.04,94,0,13.11,42.97
198,Gizo,78.8,74,40,3.36,31.8
199,Marsh Harbour,82.81,100,80,18.81,26.54
200,Linhares,80.74,61,12,11.1,-19.38
201,Birjand,57.2,28,0,9.17,32.86
202,Srednekolymsk,28.99,87,76,2.71,67.46
203,Nurota,61.21,39,0,12.21,40.56
204,La Romana,82.4,83,75,6.93,18.43
205,Hobyo,76.33,92,0,12.77,5.35
206,Guerrero Negro,75.52,94,0,7.52,27.97
207,Xiongzhou,55.4,100,0,2.24,32.34
208,Cockburn Town,82.18,100,88,10.2,21.46
209,Beatrice,93.92,43,1,18.34,40.27
210,Nishihara,68.0,88,1,5.82,35.74
211,Mahibadhoo,81.91,100,80,25.08,3.78
212,Jinchang,36.19,63,12,2.93,38.52
213,Barreirinha,94.69,40,0,2.71,-2.8
214,Isangel,72.91,100,8,11.43,-19.55
215,Abu Samrah,63.64,56,12,3.15,35.3
216,Marzuq,55.27,51,0,2.15,14.4
217,Agadez,86.86,25,32,11.99,16.97
218,Santa Cruz de la Palma,73.4,78,24,9.17,28.68
219,Lasa,71.6,82,0,8.05,34.92
220,East London,61.57,100,88,7.96,-33.02
221,Cayenne,84.2,79,0,8.05,4.94
222,Nerchinskiy Zavod,39.25,77,0,4.94,51.31
223,Clyde River,28.4,100,90,16.11,70.47
224,Ahuimanu,86.0,69,1,8.05,21.44
225,Havre-Saint-Pierre,44.6,100,90,9.17,50.23
226,Barranca,62.74,100,0,2.59,-10.75
227,Nikolskoye,46.4,87,75,6.71,59.7
228,Zaoyang,48.16,78,0,2.59,32.12
229,Kyaikkami,73.09,100,68,4.05,16.08
230,Xining,30.25,97,88,3.38,36.62
231,Grand-Lahou,75.61,92,24,5.84,5.24
232,Dapaong,81.01,68,24,2.37,10.86
233,Bonnyville,33.8,43,75,12.75,54.27
234,Seoul,55.4,87,12,3.36,37.57
235,Cagliari,53.6,81,0,1.12,46.38
236,Butaritari,84.88,100,8,6.96,3.07
237,Punta Arenas,48.2,45,40,24.16,-53.16
238,Fort Nelson,41.0,38,20,6.93,58.81
239,Kysyl-Syr,34.57,83,64,6.62,63.9
240,Te Anau,48.79,77,36,16.58,-45.41
241,Macamic,53.6,76,90,13.87,48.75
242,Eureka,59.0,89,90,3.71,40.8
243,Barrow,60.85,26,0,13.78,-38.31
244,Dembi Dolo,61.84,88,12,2.48,8.53
245,Road Town,86.0,66,20,4.7,18.42
246,Kavieng,83.89,100,12,3.27,-2.57
247,Siloam Springs,89.6,43,1,20.8,36.19
248,Vardo,82.94,52,1,5.82,39.62
249,Luneville,51.8,87,75,2.24,48.6
250,Jumla,31.51,84,20,2.37,29.28
251,Taoudenni,86.59,22,12,10.42,22.68
252,Iquitos,77.0,94,75,3.15,-3.75
253,Avarua,77.0,50,40,16.11,-21.21
254,Darhan,36.46,84,8,13.44,49.49
255,Washington DC.,86.0,54,1,4.7,38.9
256,Buchanan,77.0,94,75,6.4,5.88
257,Riyadh,80.6,15,0,3.38,24.63
258,Poronaysk,41.86,90,0,6.4,49.22
259,Maragogi,77.41,82,88,9.98,-9.01
260,Sikasso,75.97,86,0,2.37,11.32
261,Mitsamiouli,73.4,83,20,2.24,-11.38
262,Ponta Delgada,69.8,73,40,8.05,37.73
263,Dingle,75.43,97,76,4.5,11.0
264,Kargil,19.18,67,76,1.59,34.56
265,Longyearbyen,32.0,100,75,4.7,78.22
266,Preobrazheniye,32.86,82,0,1.92,42.9
267,Peniche,73.4,17,0,4.7,39.36
268,Geraldton,50.0,100,90,3.36,49.72
269,Shizunai,44.02,92,0,3.71,42.33
270,Kaitangata,53.02,65,92,14.34,-46.28
271,Grand Gaube,62.6,82,20,9.17,-20.01
272,Russell,69.8,37,0,5.82,-33.01
273,Vila,55.4,82,0,3.36,45.18
274,Duekoue,71.92,100,64,3.71,6.74
275,Saint Anthony,69.08,31,1,24.16,43.97
276,Fortuna,68.0,64,0,3.36,38.18
277,Porciuncula,81.01,58,0,2.82,-20.96
278,Jojoima,76.33,95,92,3.6,7.88
279,Carnarvon,46.0,44,0,12.88,-30.97
280,Asuncion,69.8,88,75,4.7,-25.3
281,Snezhnogorsk,32.0,98,0,2.24,69.19
282,Otane,54.19,56,68,3.6,-39.89
283,Cidreira,61.75,89,88,9.75,-30.17
284,Aranda de Duero,52.03,61,0,6.06,41.67
285,Ukiah,66.92,81,90,4.7,39.15
286,Inndyr,39.2,86,75,8.05,67.03
287,Vikhorevka,28.4,79,8,4.47,56.12
288,Shaunavon,32.68,87,0,14.23,49.65
289,Kuminskiy,47.26,70,20,6.4,58.67
290,Muli,76.42,62,0,8.3,22.62
291,Bethel,51.08,71,90,11.41,60.79
292,Sangre Grande,84.2,88,20,8.05,10.59
293,Portland,66.02,44,75,6.93,45.52
294,Namibe,67.06,100,24,7.07,-15.19
295,Pimentel,86.23,61,0,4.61,-3.7
296,Smoky Lake,36.55,69,20,8.19,54.11
297,Chimbote,66.79,87,48,3.6,-9.08
298,Provideniya,50.0,81,90,17.9,64.42
299,Kimberley,50.0,39,0,6.93,-28.74
300,Ammon,69.08,38,40,26.4,43.47
301,Jay,89.6,43,1,20.8,36.42
302,Banda Aceh,74.53,100,44,0.69,5.56
303,Kavaratti,83.71,100,48,10.54,10.57
304,Bograd,41.0,86,40,2.24,54.22
305,Sao Miguel do Araguaia,87.31,69,44,2.82,-13.28
306,Hami,45.46,43,76,0.81,42.84
307,Taseyevo,38.17,93,68,4.16,57.22
308,Trelew,62.56,28,24,14.56,-43.25
309,Kiunga,73.27,99,92,1.92,-6.12
310,Upernavik,31.87,100,80,10.65,72.79
311,Oussouye,82.4,88,40,2.24,12.49
312,Tuktoyaktuk,24.8,79,75,13.87,69.44
313,Egvekinot,42.22,95,92,7.74,66.32
314,Kabare,60.94,97,36,3.38,-1.65
315,Tessalit,75.7,27,0,6.73,20.2
316,Paamiut,36.55,100,56,7.4,61.99
317,Lata,47.71,75,68,2.15,30.78
318,Vila Franca do Campo,69.8,73,40,5.82,37.72
319,Behshahr,62.47,74,8,2.15,36.69
320,Matay,80.74,44,0,12.44,28.42
321,Axim,78.49,98,12,8.63,4.87
322,Poum,46.99,93,20,1.7,41.28
323,Copenhagen,50.0,76,20,12.75,55.69
324,Carauari,91.09,50,12,0.58,-4.88
325,Narasannapeta,72.55,100,0,2.93,18.42
326,Sawakin,78.85,94,92,2.37,19.1
327,Nova Olimpia,89.47,70,0,2.93,-14.8
328,Klaksvik,50.0,100,100,12.75,62.23
329,Primo Tapia,77.0,78,75,8.05,32.22
330,Ipswich,62.6,87,0,3.27,-27.62
331,Bluff,58.96,87,0,7.52,-23.58
332,Castro,48.88,82,92,5.39,-42.48
333,Mayo,35.6,47,75,2.24,63.59
334,Dakar,84.2,79,8,2.24,14.69
335,Mattru,77.05,95,68,4.5,7.62
336,Tirlyanskiy,40.33,67,64,5.73,54.22
337,San Quintin,71.6,100,90,4.7,17.54
338,Khash,47.53,42,0,2.82,28.22
339,Yatou,78.8,94,75,1.12,3.63
340,Margate,41.0,80,20,10.29,-43.03
341,Whitehorse,41.0,41,75,3.36,60.72
342,Sabang,76.33,99,48,3.94,13.72
343,Ullapool,54.19,98,100,24.52,57.9
344,Ambulu,71.65,100,36,6.17,-8.35
345,Takoradi,76.87,97,8,6.51,4.89
346,Isla Mujeres,86.0,70,75,12.75,21.23
347,Shingu,71.11,100,100,15.68,33.72
348,Kemi,23.0,92,0,4.38,65.74
349,Payo,80.29,69,24,5.39,-3.75
350,Gotsu,59.59,92,92,6.51,35.01
351,Albany,62.96,77,90,6.93,42.65
352,Broome,57.2,82,88,4.7,52.47
353,Ouargaye,72.1,97,76,0.36,11.5
354,Talaya,38.89,85,32,7.74,55.79
355,Coquimbo,59.0,72,0,13.87,-29.95
356,Tadine,71.65,98,0,17.36,-21.55
357,Thinadhoo,81.46,100,88,20.6,0.53
358,Grindavik,39.2,86,75,16.11,63.84
359,Vao,44.47,98,92,8.3,59.1
360,Half Moon Bay,78.98,61,90,16.11,37.46
361,Puerto Carreno,89.6,59,40,5.82,6.19
362,Padang,79.21,100,32,1.03,-0.92
363,Hithadhoo,82.81,100,88,22.28,-0.6
364,Kungurtug,21.16,74,88,9.98,50.6
365,Jiuquan,32.86,46,0,4.05,39.73
366,Khandyga,33.31,96,92,4.94,62.65
367,Hualmay,70.48,64,0,4.83,-11.1
368,Ambatondrazaka,49.51,95,24,1.81,-17.82
369,Komsomolskiy,39.34,95,92,12.1,67.55
370,Beringovskiy,47.17,97,92,13.22,63.05
371,Toamasina,66.2,93,75,2.37,-18.17
372,Baependi,72.37,73,8,1.25,-21.96
373,Imeni Babushkina,45.73,98,88,9.19,59.76
374,Severo-Kurilsk,46.63,100,64,24.18,50.68
375,Petropavlovsk-Kamchatskiy,39.2,93,40,6.71,53.05
376,Sergeyevka,35.74,78,0,4.5,53.88
377,Husavik,36.91,100,92,15.23,50.56
378,Sheregesh,36.64,97,88,3.04,52.93
379,Pala,77.0,94,90,2.04,9.71
380,Nanchang,58.69,81,0,6.96,28.68
381,Khatanga,29.44,86,80,10.76,71.98
382,Qasigiannguit,24.8,58,75,2.93,68.82
383,Panama City,89.06,52,1,4.7,30.16
384,Mujiayingzi,34.39,76,0,3.15,42.12
385,Ponta do Sol,83.62,40,24,4.61,-20.63
386,Santiago,78.8,9,0,4.7,-33.44
387,Mangrol,76.51,56,32,5.39,25.33
388,Teeli,17.29,65,44,2.71,51.01
389,Hermanus,49.78,80,0,6.85,-34.42
390,Bose,55.4,82,0,6.93,45.46
391,Madras,59.0,38,1,8.05,44.63
392,Ostrovnoy,28.54,95,8,9.42,68.05
393,Georgetown,84.2,74,20,9.17,6.8
394,Matara,62.11,35,36,2.59,-13.74
395,Yellowknife,24.8,53,90,6.93,62.45
396,Mutsu,46.4,81,20,6.93,41.29
397,Mandera,84.07,41,32,10.09,3.94
398,Luau,71.47,65,76,2.37,-10.7
399,Ondangwa,69.76,20,0,7.63,-17.91
400,Kohlu,51.94,43,0,2.37,29.9
401,Wageningen,53.6,87,90,4.7,51.98
402,Kailua,86.0,69,1,8.05,21.39
403,Lazaro Cardenas,84.2,37,75,9.53,28.39
404,Nam Phong,73.4,88,36,3.36,16.71
405,Port Hawkesbury,57.2,100,90,14.99,45.62
406,Qaanaaq,16.84,100,0,14.12,77.48
407,Tamiami,87.08,66,20,12.75,25.76
408,Fukue,66.2,88,90,8.05,35.03
409,Keningau,78.8,88,75,5.82,5.33
410,Cap Malheureux,62.6,82,20,9.17,-19.98
411,Arraial do Cabo,78.8,78,0,9.17,-22.97
412,Rikitea,67.24,100,12,18.48,-23.12
413,Leningradskiy,39.79,89,24,11.43,69.38
414,Camabatela,64.18,96,64,2.71,-8.19
415,Penzance,53.6,100,90,4.7,50.12
416,Kayan,78.8,94,75,2.24,16.91
417,Katsuura,64.4,82,75,4.7,33.93
418,Terrace Bay,53.6,100,90,8.05,48.78
419,Gat,86.0,84,0,4.7,14.69
420,Hasaki,64.4,93,75,8.05,35.73
421,Comodoro Rivadavia,59.0,47,40,3.36,-45.87
422,Lubango,65.44,72,20,3.6,-14.92
423,Torbay,42.8,75,75,9.17,47.66
424,Miri,68.68,93,64,3.15,10.31
425,Ashoknagar,79.03,50,44,5.39,24.58
426,Ambilobe,76.33,66,100,10.42,-13.19
427,Diamantina,77.86,53,12,2.71,-18.24
428,Minggang,47.89,75,0,2.82,32.45
429,Henties Bay,62.47,84,0,2.37,-22.12
430,Marrakesh,80.6,32,0,6.93,31.63
431,Bredasdorp,48.2,87,0,3.36,-34.53
432,Srandakan,63.1,98,0,2.26,-7.94
433,Wajima,66.16,89,0,11.77,37.4
434,Daru,76.33,95,92,3.6,7.99
435,Namatanai,82.9,100,12,6.17,-3.66
436,Ixtapa,86.0,89,90,10.29,20.71
437,Sinnamary,83.35,88,0,13.11,5.38
438,Vanimo,85.33,98,56,3.15,-2.67
439,Kinablangan,77.59,100,44,4.61,7.69
440,Puerto Ayora,77.0,61,75,11.41,-0.74
441,Pueblo Nuevo,93.61,56,0,4.72,23.99
442,Sinnai,66.2,77,0,10.29,39.3
443,Kutum,83.98,25,80,11.77,14.2
444,Bay Roberts,42.8,75,75,9.17,47.58
445,Alapur,67.96,85,0,2.71,27.96
446,Treinta y Tres,61.84,76,0,5.17,-33.23
447,Punta de Piedra,83.53,63,36,2.71,7.62
448,Skelleftea,32.0,100,0,8.05,64.75
449,Shwebo,71.56,99,92,4.61,22.57
450,Leshukonskoye,39.88,94,56,3.6,64.9
451,Lahij,64.27,88,0,2.71,13.06
452,Port Lincoln,52.66,100,92,13.44,-34.72
453,Cherskiy,33.67,96,92,6.62,68.75
454,Pisco,71.6,30,20,9.17,-13.71
455,Biak,76.6,95,92,4.94,-0.91
456,Buraydah,75.2,29,0,2.24,26.33
457,Rodoc,55.4,100,90,5.82,48.24
458,Port Augusta,55.4,66,90,18.34,-32.49
459,Jambi,72.82,96,12,3.49,-1.6
460,Esperance,82.4,88,20,8.05,10.24
461,Sandpoint,51.98,53,1,4.7,48.28
462,Tianpeng,57.07,92,0,3.6,28.88
463,Garden City,75.02,63,20,9.17,40.73
464,Belmonte,56.26,57,0,4.72,40.36
465,Alice Springs,59.0,72,0,4.7,-23.7
466,Bambous Virieux,62.6,82,20,9.17,-20.34
467,Ilulissat,24.8,58,75,2.93,69.22
468,Lebu,49.51,76,0,6.06,8.96
469,Chadan,25.84,67,56,3.15,51.29
470,Mar del Plata,56.53,45,92,12.66,-46.43
471,Sheridan,86.18,19,40,16.11,39.65
472,Edd,70.75,53,0,1.03,13.93
473,Labytnangi,34.21,94,20,5.95,66.66
474,Sao Filipe,80.56,90,0,13.67,14.9
475,Nhulunbuy,71.6,94,0,4.7,-12.18
476,Sydney Mines,55.4,93,90,18.34,46.24
477,Gezing,51.8,87,75,1.12,47.92
478,Moyale,65.62,75,0,3.71,3.52
479,Diffa,80.47,54,0,3.94,13.32
480,Strezhevoy,48.2,81,0,11.18,60.73
481,Pucallpa,91.4,59,40,4.7,-8.38
482,Kapaa,84.02,74,40,12.75,22.08
483,Airai,59.59,83,0,1.7,-8.93
484,Lakes Entrance,51.13,100,80,6.62,-37.88
485,Nenagh,57.2,87,90,3.36,52.86
486,Karratha,69.13,44,24,5.61,-20.74
487,Danilovka,60.22,97,68,16.58,50.35
488,Smithers,41.0,35,75,3.36,54.78
489,Nyakahanga,62.02,94,8,2.71,-1.6
490,Ahipara,58.42,87,92,10.09,-35.17
491,Natal,80.6,69,40,13.87,-5.81
492,Pevek,39.7,100,36,3.27,69.7
493,Ust-Tsilma,43.66,91,92,5.84,65.44
494,West Fargo,44.06,92,90,19.46,46.88
495,Poso,76.24,100,76,2.71,-1.4
496,Afua,76.87,92,88,5.17,5.27
497,Lompoc,75.02,78,90,12.75,34.64
498,Selty,46.63,98,92,5.28,57.31
499,Abu Kamal,75.7,35,32,9.98,34.45
500,Kifri,67.24,58,0,2.82,34.69
501,Bandarbeyla,76.96,96,32,13.33,9.49
502,Sidrolandia,71.6,88,75,5.82,-20.93
503,Wawa,79.66,75,24,3.27,9.9
504,San Patricio,70.03,84,8,5.28,-26.98
505,Mahebourg,62.6,82,20,9.17,-20.41
506,Eskil,53.65,84,0,2.93,38.4
507,Le Port,33.4,90,0,1.7,42.87
508,Kokkola,37.4,93,75,3.36,63.84
509,Sioux Lookout,50.0,93,90,4.7,50.1
510,West Bay,53.6,100,75,5.82,50.71
511,Colac,49.24,76,80,5.61,-38.34
512,Upata,84.43,66,24,2.71,8.02
513,Dikson,38.89,99,92,21.05,73.51
514,Vazhiny,43.57,100,92,5.61,60.96
515,Tevaitoa,77.41,100,48,21.27,-16.78
516,Sola,44.6,87,75,5.82,58.89
517,Kirakira,81.01,100,24,14.0,-10.46
518,Nkayi,72.91,94,88,0.69,-4.18
519,Port Moresby,77.0,78,40,17.22,-9.47
520,Cabedelo,78.8,78,75,10.29,-6.97
521,Bilibino,32.41,96,92,2.71,68.06
522,Quelimane,75.2,88,0,6.93,-17.88
523,Frontera,86.0,66,75,9.17,18.53
524,Inhambane,71.29,98,80,16.35,-23.87
525,Hilo,84.92,65,1,9.17,19.71
526,Ha Giang,59.86,86,24,2.15,22.83
527,Batagay,13.87,72,44,2.82,67.65
528,San Policarpo,76.06,100,56,4.5,12.18
529,Sheksna,46.27,100,92,4.38,59.21
530,Busselton,62.56,98,32,22.95,-33.64
531,Gazojak,62.47,41,0,9.75,41.19
532,Pishva,77.0,63,40,11.41,35.31
533,Deqing,64.4,77,0,6.71,30.54
534,Wodonga,57.2,82,75,4.7,-36.12
535,Monrovia,77.0,94,75,5.39,6.33
536,Sur,82.72,97,0,5.17,22.57
537,Kahului,87.08,60,20,16.11,20.89
538,Skibbereen,53.6,100,75,6.93,51.55
539,Sisophon,75.07,80,12,11.65,13.59
540,Rocha,60.85,56,68,5.84,-34.48
541,Elat,68.14,99,32,2.15,2.91
542,Lavrentiya,46.36,90,92,24.18,65.58
543,Qandala,66.97,100,0,2.26,11.47
544,Anadyr,46.4,93,90,22.37,64.73
545,Clinton,87.98,55,1,29.97,41.84
546,Prachuap Khiri Khan,76.87,91,48,3.15,11.81
547,Erdenet,32.86,97,92,10.09,49.03
548,Evensk,41.77,100,24,15.01,61.92
549,Saint-Augustin,57.2,76,0,3.36,44.83
550,Kushima,66.2,93,75,8.05,31.5
551,Ushuaia,35.6,80,75,23.04,-54.81
552,Ugoofaaru,78.13,100,92,25.3,5.67
553,Kieta,78.04,100,88,3.04,-6.22
554,Bathsheba,84.2,74,40,10.29,13.22
555,Sakti,73.36,77,32,2.71,22.03
556,Muros,62.6,72,0,1.12,42.77
557,Cabo San Lucas,87.8,78,40,8.05,22.89
558,Sept-Iles,44.6,93,90,11.41,50.2
559,Fort Morgan,87.8,16,0,12.75,40.25
560,Thunder Bay,55.4,93,90,9.17,48.41
561,Chuy,59.95,82,48,7.74,-33.69
562,Shakawe,65.71,22,0,6.62,-18.36
563,Doctor Arroyo,79.39,47,32,3.04,23.67
